ID,method,MRE,RE
1,MEGA,3.281008674907876e-08,1.0791415380181591e-07
2,MEGA,0.00015180776904983787,0.05637075547005625
3,MEGA,0.00010226356681870106,0.0016357628953381383
4,MEGA,0.0005704655162942677,0.02615111710616099
5,MEGA,4.90192483369869e-05,0.1582099370319514
6,MEGA,2.8040026011927954e-08,1.162934438944197e-07
7,MEGA,0.00022580439541014313,0.34654028405282833
8,MEGA,2.1901276974574033e-05,0.0013990304494245235
9,MEGA,0.0010988190568975303,0.21095428161277036
10,MEGA,0.000751822979021593,11.982538070909952
11,MEGA,2.4130603793737067e-08,1.1854285170336032e-07
12,MEGA,0.00014740137206411573,0.9047585360565984
13,MEGA,0.00010819139400037351,0.027648924450645512
14,MEGA,0.00024072110442627348,0.1847318592865732
15,MEGA,0.00026805706106770475,17.09933150407761
16,MEGA,9.91969276655357e-07,6.646230785558505e-05
17,MEGA,1.3584983407050202,2.693512939518626
18,MEGA,1.6476221906352337e-07,1.6476221906352337e-07
19,MEGA,0.00010088092364094497,0.05614176714233616
20,MEGA,56.04456324659745,224.17178822690883
21,MEGA,1.4132559543543565e-07,1.5657936508869959e-07
22,MEGA,0.005471035242990971,1.2705417821857197
23,MEGA,3.9131502388690505e-08,7.826300477738101e-08
24,MEGA,0.015625011712808574,0.9999997615814209
25,MEGA,1.6234435502183993,64.93697956098646
26,MEGA,1.8387846571992419e-07,1.8387846571992419e-07
27,MEGA,2.164633793286297e-08,7.852646445028552e-08
28,MEGA,1.8834422266925338e-08,9.287043563589615e-08
29,MEGA,1.1966649231622422e-06,2.3800212320043114e-06
30,MEGA,1.0567835087025572,42.268363221421055
31,MEGA,0.09303531253268475,1.7149321108046112
32,MEGA,9.27336401222403e-08,2.3841857671737675e-07
33,MEGA,0.0004819879913077832,0.001362397782149991
34,MEGA,1.7004917817711665e-07,1.8094233315970359e-07
35,MEGA,1.0707885007849239e-07,1.1156617662940454e-07
36,MEGA,5.7659558681816716e-06,2.9370161721595827e-05
37,MEGA,0.010805909870217557,0.9998361868391483
38,MEGA,0.0009532157241188789,0.002516778177559617
39,MEGA,0.00043130824276113545,0.0008888888848434569
40,MEGA,1.4148915455076682e-07,1.7162830751666758e-07
41,MEGA,0.0004885197801637102,0.0004885197801637102
42,MEGA,0.23154199958906166,64.48891234767977
43,MEGA,0.0008188709018071904,0.0009514747812830154
44,MEGA,2.390656010838639e-08,8.865564933583289e-08
45,MEGA,1.94305783854812,1253.8972807347623
46,MEGA,9.33519864356945e-07,3.0066843565223546e-06
47,MEGA,3.292465700779564e-05,0.00427958730211055
48,MEGA,0.004899447216587924,0.06666630257976618
49,MEGA,0.000209984341815701,0.0009310986787067961
50,MEGA,1.6864060256188705e-07,2.5296090384283056e-07
51,MEGA,3.2655399376775294e-07,3.2655399376775294e-07
52,MEGA,1.901533545292794e-07,2.95583329810244e-07
53,MEGA,0.028341328961076332,0.24080031598833326
54,MEGA,2.2906184052259353e-06,8.80681980008582e-06
55,MEGA,0.0014299776875939159,0.12313339458148931
56,MEGA,0.019520381897098534,0.3999475780710471
57,MEGA,1.364493954606143,8.186963727636858
58,MEGA,0.0268315382850454,1.5574077367782593
59,MEGA,7.826300477738101e-08,7.826300477738101e-08
60,MEGA,0.0008111995575831339,0.04044702666507876
1,MCMC,0.0,0.0
3,MCMC,1.572929613981671e-06,8.265749276641703e-06
4,MCMC,0.0017552706198072409,0.0836399197767212
6,MCMC,0.0,0.0
8,MCMC,0.0009103408526679849,0.058248676105449905
11,MCMC,0.0,0.0
18,MCMC,1.6476221906352337e-07,1.6476221906352337e-07
21,MCMC,1.5657936508869959e-07,1.5657936508869959e-07
23,MCMC,3.9131502388690505e-08,7.826300477738101e-08
26,MCMC,1.8018280340441378e-07,1.954271459130591e-07
34,MCMC,1.8094233315970359e-07,1.8094233315970359e-07
35,MCMC,1.1156617662940457e-07,1.1156617662940454e-07
36,MCMC,2.5313925642079383e-06,1.5188355385247629e-05
40,MCMC,1.340755600963267e-07,1.7162830751666758e-07
41,MCMC,0.0004885197801637102,0.0004885197801637102
43,MCMC,0.0006543447588681824,0.000951474767377542
46,MCMC,3.5499592730667363e-06,1.1876652617186464e-05
48,MCMC,0.001370110746302351,0.013289030758073622
50,MCMC,8.432031095963665e-08,8.43203160971953e-08
51,MCMC,3.2655399376775294e-07,3.2655399376775294e-07
52,MCMC,1.8579182702012421e-07,1.8579182702012421e-07
53,MCMC,0.024665142996365064,0.21835192006155008
54,MCMC,5.198806570644803e-06,2.035584982899105e-05
59,MCMC,7.826300477738101e-08,7.826300477738101e-08
60,MCMC,1.4911390549879856e-05,0.00014910520533565765
1,DEMC,0.0,0.0
3,DEMC,0.043188077323627776,0.6908976318903314
6,DEMC,0.0,0.0
18,DEMC,1.6476221906352337e-07,1.6476221906352337e-07
34,DEMC,1.8094233315970359e-07,1.8094233315970359e-07
35,DEMC,1.1156617662940457e-07,1.1156617662940454e-07
36,DEMC,8.345604543824459e-06,2.778090959901308e-05
41,DEMC,0.0007286928837693642,0.0009606147840185444
48,DEMC,0.0018219848916565227,0.017094005125291453
50,DEMC,1.6861596320318531e-07,2.52923944804778e-07
51,DEMC,3.2655399376775294e-07,3.2655399376775294e-07
54,DEMC,1.3125032921138338e-06,4.968110745970369e-06
59,DEMC,7.826300477738101e-08,7.826300477738101e-08
